iter	Passed	Remaining
1460	45110	66044
1461	45143	66017
1462	45169	65979
1463	45204	65953
1464	45234	65921
1465	45264	65890
1466	45300	65866
1467	45338	65845
1468	45369	65814
1469	45405	65791
1470	45439	65765
1471	45463	65724
1472	45500	65702
1473	45538	65681
1474	45566	65646
1475	45601	65621
1476	45640	65601
1477	45670	65570
1478	45702	65540
1479	45738	65516
1480	45770	65487
1481	45803	65460
1482	45834	65429
1483	45858	65388
1484	45885	65352
1485	45910	65312
1486	45940	65281
1487	45979	65261
1488	46015	65237
1489	46048	65209
1490	46083	65183
1491	46111	65149
1492	46147	65125
1493	46180	65098
1494	46213	65069
1495	46238	65030
1496	46273	65005
1497	46313	64987
1498	46338	64947
1499	46371	64920
1500	46393	64877
1501	46425	64847
1502	46454	64813
1503	46480	64776
1504	46512	64746
1505	46538	64708
1506	46573	64683
1507	46605	64653
1508	46630	64615
1509	46665	64589
1510	46692	64553
1511	46729	64531
1512	46765	64506
1513	46795	64475
1514	46824	64441
1515	46848	64400
1516	46872	64361
1517	46907	64334
1518	46932	64296
1519	46966	64270
1520	47004	64249
1521	47032	64213
1522	47062	64182
1523	47091	64147
1524	47116	64109
1525	47150	64082
1526	47171	64038
1527	47206	64012
1528	47245	63992
1529	47267	63949
1530	47302	63924
1531	47332	63893
1532	47359	63856
1533	47392	63829
1534	47417	63789
1535	47450	63761
1536	47489	63741
1537	47517	63706
1538	47546	63673
1539	47584	63651
1540	47618	63624
1541	47649	63594
1542	47680	63564
1543	47703	63521
1544	47739	63498
1545	47769	63465
1546	47802	63437
1547	47831	63404
1548	47855	63364
1549	47882	63328
1550	47904	63285
1551	47934	63253
1552	47959	63214
1553	47986	63179
1554	48018	63149
1555	48045	63114
1556	48082	63091
1557	48108	63054
1558	48138	63021
1559	48175	62998
1560	48209	62971
1561	48237	62937
1562	48271	62910
1563	48298	62874
1564	48329	62843
1565	48365	62819
1566	48387	62777
1567	48421	62750
1568	48454	62722
1569	48481	62685
1570	48516	62660
1571	48537	62616
1572	48570	62589
1573	48610	62570
1574	48634	62530
1575	48665	62499
1576	48699	62472
1577	48724	62433
1578	48758	62407
1579	48784	62369
1580	48811	62334
1581	48858	62324
1582	48891	62295
1583	48922	62264
1584	48957	62239
1585	48982	62201
1586	49012	62168
1587	49043	62137
1588	49069	62101
1589	49114	62087
1590	49152	62066
1591	49186	62039
1592	49215	62005
1593	49246	61974
1594	49275	61942
1595	49298	61901
1596	49322	61860
1597	49352	61829
1598	49383	61798
1599	49415	61769
1600	49455	61750
1601	49490	61724
1602	49516	61687
1603	49546	61655
1604	49577	61624
1605	49603	61587
1606	49638	61562
1607	49660	61519
1608	49697	61496
1609	49732	61470
1610	49757	61432
1611	49798	61414
1612	49824	61376
1613	49848	61337
1614	49882	61310
1615	49907	61273
1616	49941	61245
1617	49979	61223
1618	50009	61191
1619	50035	61154
1620	50066	61123
1621	50087	61081
1622	50123	61056
1623	50152	61022
1624	50178	60986
1625	50216	60964
1626	50237	60920
1627	50277	60901
1628	50316	60879
1629	50336	60836
1630	50368	60806
1631	50394	60769
1632	50423	60736
1633	50454	60706
1634	50476	60664
1635	50508	60634
1636	50544	60609
1637	50568	60571
1638	50599	60540
1639	50623	60500
1640	50656	60473
1641	50682	60435
1642	50714	60406
1643	50742	60372
1644	50769	60336
1645	50798	60303
1646	50833	60278
1647	50862	60244
1648	50898	60220
1649	50923	60182
1650	50952	60148
1651	50981	60116
1652	51009	60081
1653	51044	60056
1654	51080	60030
1655	51104	59992
1656	51137	59964
1657	51162	59926
1658	51199	59902
1659	51238	59881
1660	51261	59841
